2025-01-24 13:40:43 : ----- INFO: 事件触发：添加主机window
2025-01-24 13:41:03 : ----- INFO: 主机数据初始化成功
2025-01-24 13:41:03 : ----- INFO: 主机数据初始化成功
2025-01-24 13:41:04 : ----- INFO: 服务器：主机名:192.2.3.1，ip地址：192.2.3.1,端口:289，用户名：leo,密码：123,说明： 
添加成功
2025-01-24 13:41:11 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:41:11 : ----- INFO: 主机名：192.2.3.1,主机ip : 192.2.3.1端口号：289用户名：leo密码：123
2025-01-24 13:41:19 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:41:19 : ----- INFO: 主机名：192.2.3.1,主机ip : 192.2.3.1端口号：289用户名：leo密码：123
2025-01-24 13:41:58 : ----- INFO: 主机数据初始化成功
2025-01-24 13:41:58 : ----- INFO: 主机数据初始化成功
2025-01-24 13:41:59 : ----- INFO: 主机:192.2.3.1编辑成功,服务器说明修改为:dd

2025-01-24 13:43:16 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:43:16 : ----- INFO: 主机名：192.1.1.136,主机ip : 192.1.1.136端口号：3389用户名：administrator密码：jw_PIS1234
2025-01-24 13:43:19 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:43:19 : ----- INFO: 主机名：192.1.1.136,主机ip : 192.1.1.136端口号：3389用户名：administrator密码：jw_PIS1234
2025-01-24 13:43:22 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:43:22 : ----- INFO: 主机名：192.2.3.1,主机ip : 192.2.3.1端口号：289用户名：leo密码：123
2025-01-24 13:43:38 : ----- INFO: 主机数据初始化成功
2025-01-24 13:43:38 : ----- INFO: 主机数据初始化成功
2025-01-24 13:43:40 : ----- INFO: 主机:192.2.3.1编辑成功,主机名修改为:测试的主机2

2025-01-24 13:43:50 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:43:50 : ----- INFO: 主机名：测试的主机2
,主机ip : 192.2.3.1端口号：289用户名：leo密码：123
2025-01-24 13:43:58 : ----- INFO: 主机数据初始化成功
2025-01-24 13:43:58 : ----- INFO: 主机数据初始化成功
2025-01-24 13:43:59 : ----- INFO: 主机:192.2.3.1编辑成功,用户名修改为:administrator

2025-01-24 13:44:05 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:44:05 : ----- INFO: 主机名：测试的主机2
,主机ip : 192.2.3.1端口号：289用户名：administrator
密码：123
2025-01-24 13:44:37 : ----- INFO: 主机数据初始化成功
2025-01-24 13:44:37 : ----- INFO: 主机数据初始化成功
2025-01-24 13:44:38 : ----- INFO: 主机:192.2.3.1编辑成功,端口号修改为:33890

2025-01-24 13:44:44 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:44:44 : ----- INFO: 主机名：测试的主机2
,主机ip : 192.2.3.1端口号：33890用户名：administrator
密码：123
2025-01-24 13:44:59 : ----- INFO: 主机数据初始化成功
2025-01-24 13:44:59 : ----- INFO: 主机数据初始化成功
2025-01-24 13:45:00 : ----- INFO: 主机:192.2.3.1编辑成功,密码修改为:jw_PIS年月

2025-01-24 13:45:03 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:45:03 : ----- INFO: 主机名：测试的主机2
,主机ip : 192.2.3.1端口号：33890用户名：administrator
密码：jw_PIS年月

2025-01-24 13:45:26 : ----- INFO: 主机数据初始化成功
2025-01-24 13:45:26 : ----- INFO: 主机数据初始化成功
2025-01-24 13:45:27 : ----- INFO: 主机:192.2.3.1编辑成功,服务器说明修改为:测试测试测试测试

测试测试测试测试

测试测试测试测试
测试测试测试测试



测试测试测试测试测试








测试测试测试测试测试测试测试

2025-01-24 13:45:34 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:45:34 : ----- INFO: 主机名：测试的主机2
,主机ip : 192.2.3.1端口号：33890用户名：administrator
密码：jw_PIS年月

2025-01-24 13:45:39 : ----- INFO: 主机数据初始化成功
2025-01-24 13:45:39 : ----- INFO: 主机数据初始化成功
2025-01-24 13:45:41 : ----- INFO: 主机:192.2.3.1编辑成功,服务器说明修改为:测试测试测试测试

测试测试测试测试

测试测试测试测试
测试测试测试测试



测试测试测试测试测试








测试测试测试测试测试测试测试测试测试测试测试

测试测试测试测试

测试测试测试测试
测试测试测试测试



测试测试测试测试测试








测试测试测试测试测试测试测试

2025-01-24 13:46:00 : ----- INFO: 事件触发：连接主机
2025-01-24 13:46:03 : ----- INFO: 事件触发：连接主机
2025-01-24 13:50:18 : ----- DEBUG 日志文件存在
2025-01-24 13:50:18 : ----- 程序启动 
2025-01-24 13:50:18 : ----- DEBUG 日志文件存在
2025-01-24 13:50:18 : ----- DEBUG 日志文件存在
2025-01-24 13:50:18 : ----- INFO: 控件初始化成功
2025-01-24 13:50:18 : ----- INFO: 数据库初始化成功
2025-01-24 13:50:18 : ----- INFO: 组数据初始化成功
2025-01-24 13:50:18 : ----- INFO: 主机数据初始化成功
2025-01-24 13:50:18 : ----- INFO: 主机数据初始化成功
2025-01-24 13:50:18 : ----- INFO: 程序初始化成功
2025-01-24 13:50:21 : ----- INFO: 事件触发：连接主机
2025-01-24 13:50:28 : ----- INFO: 事件触发：连接主机
2025-01-24 13:50:31 : ----- INFO: 事件触发：连接主机
2025-01-24 13:50:33 : ----- INFO: 事件触发：连接主机
2025-01-24 13:50:42 : ----- INFO: 事件触发：连接主机
2025-01-24 13:50:45 : ----- INFO: 事件触发：连接主机
2025-01-24 13:50:51 : ----- INFO: 事件触发：连接主机
2025-01-24 13:50:52 : ----- ERROR: 未选择主机，连接失败
2025-01-24 13:50:52 : ----- INFO: 事件触发：连接主机
2025-01-24 13:50:54 : ----- ERROR: 未选择主机，连接失败
2025-01-24 13:50:55 : ----- INFO: 事件触发：连接主机
2025-01-24 13:50:56 : ----- ERROR: 未选择主机，连接失败
2025-01-24 13:50:58 : ----- INFO: 事件触发：连接主机
2025-01-24 13:50:59 : ----- ERROR: 未选择主机，连接失败
